Geneid	data/sorted.bam
YOL077C	1684
YOR390W	150
YOL052C-A	97
YOR123C	1339
YOR013W	23
YOR249C	365
YOR362C	2934
YOL058W	7827
YOR143C	364
YOR347C	277
YOL157C	109
YOL057W	945
YOR321W	457
YOR015W	196
YOR111W	149
YOL008W	191
YOR279C	223
YOR394C-A	1
YOR180C	105
YOL055C	270
snR5	19
YOL139C	4588
YOR287C	276
YOR198C	3875
YOR053W	3
YOL054W	348
YOR012W	55
YOL118C	207
YOR034C	432
YOR374W	1398
YOR018W	326
YOL084W	328
YOR314W	17
YOR050C	62
YOR391C	9
YOR327C	690
YOR352W	278
YOR348C	147
YOL115W	751
YOR066W	379
YOR072W-A	5
YOL096C	282
tM(CAU)O2	0
YOR020C	4165
YOR133W	4228
YOR356W	1862
YOR208W	300
YOR357C	386
YOR277C	0
YOR276W	716
YOR247W	1991
snR50	8
YOL047C	32
YOR221C	487
YOR344C	418
YOR269W	231
YOR152C	127
YOR103C	15
YOR377W	261
YOR129C	397
YOL038C-A	73
YOR156C	241
YOR329C	909
YOR351C	28
YOL040C	11720
YOL159C-A	94
YOR051C	1369
YOR003W	209
YOR064C	283
YOR073W	476
YOR201C	817
YOR065W	3534
YOR186W	6
YOR045W	585
YOL018C	419
YOL133W	136
YOR087W	1086
YOL028C	398
YOL086C	55182
YOL108C	316
YOL023W	573
YOR011W-A	5
YOR165W	1567
YOL068C	1024
YOR138C	594
YOR016C	600
YOL121C	6819
YOL126C	112
YOR235W	6
YOR080W	342
YOR169C	0
YOR028C	80
YOR225W	19
YOR108C-A	0
YOR109W	1604
YOL093W	554
YOR147W	596
YOR218C	6
YOR254C	3010
YOL080C	211
YOR161W-B	0
tY(GUA)O	0
YOR136W	2886
tR(ACG)O	0
YOR192C-C	27
YOR205C	554
YOR200W	0
YOR305W	497
YOR195W	1040
YOL123W	2089
YOR097C	268
YOL083C-A	0
YOL086W-A	266
YOR337W	510
YOL100W	481
YOR289W	151
YOR255W	2
YOR304W	1142
YOL163W	132
YOR077W	147
YOR074C	323
YOR117W	2735
YOR055W	11
YOL166W-A	0
YOL066C	486
YOR396W	4
YOR161C-C	13
tV(AAC)O	25
YOR151C	3806
YOR187W	6073
YOL001W	274
YOR005C	342
YOR199W	237
YOR355W	1726
YOR290C	1792
YOR396C-A	0
YOR047C	445
YOL014W	206
YOR244W	482
YOL102C	306
YOL060C	1033
YOL041C	1629
YOL116W	413
YOR353C	541
YOR299W	937
YOR366W	0
tD(GUC)O	16
YOR096W	15785
YOR148C	317
YOR301W	400
YOR257W	293
YOR135C	1
YOR032W-A	1
YOR223W	330
YOR076C	384
YOR231C-A	0
YOR316C-A	7
tS(GCU)O	2
YOR061W	1243
YOR025W	478
YOR371C	436
YOL140W	1555
YOL062C	1198
YOR292C	271
tG(UCC)O	0
YOR027W	4446
tT(AGU)O2	5
YOR142W-B	91
YOR192C-A	0
YOL103W-B	87
YOR142W-A	0
YOR192C-B	121
YOR343W-B	250
YOR343W-A	0
YOL103W-A	0
YGL087C	459
YGL156W	302
YGL015C	19
RME2	0
YGR251W	271
YGR162W	5315
tK(UUU)G2	0
YGR005C	961
YGL160W	786
snR46	42
tD(GUC)G1	0
YGL211W	556
YGR141W	590
YGL239C	8
YGL097W	1729
YGR030C	138
YGR224W	183
YGR142W	966
YGR186W	1729
YGR181W	241
YGL081W	25
YGR082W	1015
YGL028C	1515
YGL021W	1079
YGL110C	618
YGR167W	1452
YGL017W	262
tA(UGC)G	2
YGR156W	387
YGR291C	0
YGR197C	254
YGR041W	521
YGL079W	209
YGL107C	1002
YGL168W	45
YGL228W	1713
YGR183C	1871
YGL050W	465
YGR273C	2
YGR086C	6384
YGR228W	1
YGL145W	707
YGR098C	812
YGR074W	31
YGL098W	302
snR7-S	0
YGL096W	127
YGR240C-A	79
YGR172C	682
YGR194C	396
YGL026C	4141
YGL213C	385
YGL248W	506
YGL075C	131
YGL256W	611
YGL012W	4816
YGL082W	730
YGR161C	526
tW(CCA)G1	0
YGR274C	814
YGR031C-A	0
YGL037C	962
YGL252C	1234
YGL250W	196
YGR260W	1952
YGR159C	2016
YGR006W	155
YGL121C	42
YGL040C	1627
YGR130C	1442
YGR021W	533
YGR097W	767
YGL170C	39
YGL166W	74
YGL104C	197
YGR149W	533
YGR195W	399
tG(GCC)G2	4
YGR250C	981
YGL155W	541
YGL216W	325
YGR029W	656
YGL125W	3175
YGR038W	509
YGR008C	376
YGR248W	41
YGL094C	996
YGR131W	42
YGR163W	535
YGR125W	1592
YGR279C	5356
YGL022W	4348
tD(GUC)G2	2
YGR271W	972
YGL025C	298
YGL176C	281
YGR031W	258
YGL102C	77
YGR182C	598
YGR025W	141
YGL113W	384
YGR188C	360
YGL162W	93
YGL084C	1214
snR10	9
YGL196W	545
RME3	0
YGR230W	71
YGR084C	880
YGL222C	115
YGR166W	301
YGR122C-A	30
YGR152C	330
YGL210W	446
YGR265W	20
YGR157W	3819
YGL240W	83
YGR085C	7531
YGR237C	555
YGL146C	78
YGL153W	134
YGR075C	169
